"_id__$oid","type","geometry__type","geometry__coordinates__001","geometry__coordinates__002","properties__name","properties__location.address1","properties__location.city","properties__location.state","properties__location.zip_code","properties__id","properties__display_phone","properties__image_url","properties__url","properties__review_count","properties__rating"
"598325ea28a5d93b2f76124c","Feature","Point","-80.9932682","35.0628996","Bubbles N' Bows Doggie Salon","717 Stockbridge Dr","Fort Mill","SC","29708","bubbles-n-bows-doggie-salon-fort-mill","(803) 802-7040","https://s3-media3.fl.yelpcdn.com/bphoto/tHEDfCsRAIRp3G1VxOp4vw/o.jpg","https://www.yelp.com/biz/bubbles-n-bows-doggie-salon-fort-mill?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ","9","4"
"598325ea28a5d93b2f76124d","Feature","Point","-80.87187","35.20109","Classic Grooming","3100 Griffith St","Charlotte","NC","28203","classic-grooming-charlotte","(704) 334-9590","https://s3-media1.fl.yelpcdn.com/bphoto/vNbVXda5424FNYUpcgFV8Q/o.jpg","https://www.yelp.com/biz/classic-grooming-charlotte?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ","15","4.5"
"598325ea28a5d93b2f76124e","Feature","Point","-80.81496","35.219193","The Dog Salon","1318 Central Ave","Charlotte","NC","28205","the-dog-salon-charlotte","(704) 248-0991","https://s3-media4.fl.yelpcdn.com/bphoto/dKlLbkNa3VqKcbDLWkowWw/o.jpg","https://www.yelp.com/biz/the-dog-salon-charlotte?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ","67","4"
"598325ea28a5d93b2f76124f","Feature","Point","-81.0425683","35.1083029","Bright Eyes & Bushy Tails","4034 Charlotte Hwy","Lake Wylie","SC","29710","bright-eyes-and-bushy-tails-lake-wylie","(803) 831-7169","https://s3-media4.fl.yelpcdn.com/bphoto/Z3Yq6BjM-Fc4yjOavLX0zw/o.jpg","https://www.yelp.com/biz/bright-eyes-and-bushy-tails-lake-wylie?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ","2","3"
"598325ea28a5d93b2f761250","Feature","Point","-80.8980458","35.1621037","Wags In The City Pet Services","6546 Quail Hollow Rd","Charlotte","NC","28210","wags-in-the-city-pet-services-charlotte","(704) 584-9247","https://s3-media3.fl.yelpcdn.com/bphoto/xBOPSKCXniDATn3h1H6q-Q/o.jpg","https://www.yelp.com/biz/wags-in-the-city-pet-services-charlotte?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ","27","4.5"
"598325ea28a5d93b2f761251","Feature","Point","-81.0376307305798","35.2432708863154","Happy Dog Cafe Boutique & Spa","26 N Main St","Belmont","NC","28012","happy-dog-cafe-boutique-and-spa-belmont","(704) 825-5987","https://s3-media2.fl.yelpcdn.com/bphoto/vz9ol43U_lbPOWFJDDRQiw/o.jpg","https://www.yelp.com/biz/happy-dog-cafe-boutique-and-spa-belmont?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ","13","5"
"598325ea28a5d93b2f761252","Feature","Point","-81.0184460920066","35.247445638263","Million Dollar Dog","7206 W Wilkinson Blvd","Belmont","NC","28012","million-dollar-dog-belmont-2","(704) 266-4137","https://s3-media3.fl.yelpcdn.com/bphoto/4n9XxafacVWf1W9y8O9tLw/o.jpg","https://www.yelp.com/biz/million-dollar-dog-belmont-2?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ","7","4.5"
"598325ea28a5d93b2f761253","Feature","Point","-81.0191879272461","35.0723266601562","Laurel Oak Farm Dog Kennel","16223 Youngblood Rd","Charlotte","NC","28278","laurel-oak-farm-dog-kennel-charlotte","(980) 859-7935","https://s3-media3.fl.yelpcdn.com/bphoto/r1OKvk_K1O1tWE_2L9RHrQ/o.jpg","https://www.yelp.com/biz/laurel-oak-farm-dog-kennel-charlotte?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ","4","5"
"598325ea28a5d93b2f761254","Feature","Point","-80.86665","35.20492","Club Fetch","2426 Dunavant St","Charlotte","NC","28203","club-fetch-charlotte-2","(980) 299-0019","https://s3-media2.fl.yelpcdn.com/bphoto/4tHYZUcv9cacp-1sJcYiTA/o.jpg","https://www.yelp.com/biz/club-fetch-charlotte-2?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ","36","5"
"598325ea28a5d93b2f761255","Feature","Point","-80.84749","35.17105","The Barker Lounge","1719 Montford Dr","Charlotte","NC","28209","the-barker-lounge-charlotte","(704) 522-7537","https://s3-media2.fl.yelpcdn.com/bphoto/KoKc0d3w9x710NkMZoPW3Q/o.jpg","https://www.yelp.com/biz/the-barker-lounge-charlotte?adjust_creative=VGFRDca0eUa0TQtHKuz9aQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VGFRDca0eUa0TQtHKuz9aQ","62","4.5"
